topic,Consumer Agency,Other,Research,Shared in Slack,Software registry,Word of mouth
Behavioural tracking,0,1,8,1,9,1
Compliance and obligations,0,0,2,1,0,1
Consumer complaints,1,1,0,1,0,0
Dark Patterns,0,0,0,2,0,0
Digital Investigations,1,0,0,1,0,0
Domain registries,9,0,0,0,0,2
Failure of Web accessibility,0,0,5,0,1,0
Fake reviews,0,1,13,1,0,0
Financial online fraud,4,0,1,0,0,0
Forced Action,0,0,1,0,0,0
General scam & Pishing,0,2,11,1,3,1
General terms and conditions,0,0,0,0,0,1
Geoblocking,0,0,3,1,0,0
HTTP Cookies,0,0,3,0,1,0
Identity Theft,0,0,2,0,3,0
Internet snaps and internet archives,2,1,3,0,7,0
Misleading advertising ,0,0,4,0,5,0
Online trackers,0,1,2,5,0,0
Personal pricing,0,0,2,0,0,0
Price discrimination,0,0,3,1,1,0
Scarcity,0,0,1,0,0,0
Social media issues,0,0,3,0,0,0
Social proof,0,0,1,0,0,0
VPN,3,0,2,1,1,0
Web beacon tracker,0,0,3,0,3,0
